[2023-07-18 20:07:41] [world] [%uuid%] The Player <Enderlava> has changed a sign at X= -9, Y= 66, Z= -245 with , , , 
[2023-07-18 20:07:42] [world] [%uuid%] The Player <Enderlava> has changed a sign at X= -9, Y= 65, Z= -245 with , , , 
[2023-07-18 20:07:43] [world] [%uuid%] The Player <Enderlava> has changed a sign at X= -9, Y= 66, Z= -245 with , , , 
[2023-07-18 20:10:12] [world] [%uuid%] The Player <Enderlava> has changed a sign at X= -9, Y= 67, Z= -245 with , , , 
[2023-07-18 20:13:47] [world] [%uuid%] The Player <Enderlava> has changed a sign at X= -9, Y= 72, Z= -244 with , , , 
[2023-07-18 20:13:51] [world] [%uuid%] The Player <Enderlava> has changed a sign at X= -9, Y= 72, Z= -244 with , , , 
[2023-07-18 20:13:53] [world] [%uuid%] The Player <Enderlava> has changed a sign at X= -9, Y= 73, Z= -244 with , , , 
[2023-07-18 20:14:15] [world] [%uuid%] The Player <Enderlava> has changed a sign at X= -9, Y= 72, Z= -244 with , , , 
[2023-07-18 20:14:29] [world] [%uuid%] The Player <Enderlava> has changed a sign at X= -9, Y= 71, Z= -244 with , , , 
[2023-07-18 20:14:42] [world] [%uuid%] The Player <Enderlava> has changed a sign at X= -9, Y= 72, Z= -243 with W, , , 
[2023-07-18 20:14:49] [world] [%uuid%] The Player <Enderlava> has changed a sign at X= -9, Y= 72, Z= -242 with , , , 
[2023-07-18 20:14:56] [world] [%uuid%] The Player <Enderlava> has changed a sign at X= -9, Y= 72, Z= -243 with , , , 
[2023-07-18 20:15:09] [world] [%uuid%] The Player <Enderlava> has changed a sign at X= -7, Y= 72, Z= -244 with A, , , 
[2023-07-18 20:15:13] [world] [%uuid%] The Player <Enderlava> has changed a sign at X= -7, Y= 72, Z= -243 with , , , 
[2023-07-18 20:15:20] [world] [%uuid%] The Player <Enderlava> has changed a sign at X= -7, Y= 72, Z= -242 with , , , 
[2023-07-18 20:15:27] [world] [%uuid%] The Player <Enderlava> has changed a sign at X= -8, Y= 72, Z= -242 with , , , 
[2023-07-18 20:15:35] [world] [%uuid%] The Player <Enderlava> has changed a sign at X= -9, Y= 72, Z= -241 with , , , 
[2023-07-18 20:15:37] [world] [%uuid%] The Player <Enderlava> has changed a sign at X= -7, Y= 72, Z= -241 with , , , 
[2023-07-18 20:15:42] [world] [%uuid%] The Player <Enderlava> has changed a sign at X= -8, Y= 72, Z= -241 with , , , 
